ObjID,population,dt_days,obs_ecl_lon,pred_ecl_lon,obs_ecl_lat,pred_ecl_lat,obs_vlam,pred_vlam,obs_vbeta,pred_vbeta,obs_mjd_utc,pred_epoch_mjd_tdb,pred_light_time_s,pred_delta_au,sep_arcsec,dlon_arcsec,dlat_arcsec
S0000166a,NEO,0.013831334079441149,265.62618222044654,265.61443033471255,-26.069160941518614,-26.08589378984895,0.5851221366592202,0.6058191021512085,0.6278729290971202,0.6270804848337593,61642.01383133408,61642.0,355.95426094711775,0.7133283537097153,71.22249775307911,42.3067886423496,60.238253989206214
S00001Vma,NEO,0.014258753712056205,263.4130808290767,263.4143589024896,-23.42444987613851,-23.418245976536507,0.09570040790700397,0.1103471735578303,-0.22755142361640385,-0.2288613518229288,61642.01425875371,61642.0,481.28743135450185,0.9644946239884709,22.729590740490142,-4.6010642864075635,-22.334038567210257
S101hzzla,MBA,0.014258753712056205,263.87747087033307,263.8773041187983,-21.929862849602333,-21.930100819086526,0.14838310325648207,0.15719236031223485,0.010435584346574583,0.009883939669895965,61642.01425875371,61642.0,786.9828687876953,1.5771048580690439,1.0217671364285819,0.6003055251994738,0.8566901430938856
S0000hO2a,NEO,0.015137250193220098,260.62771055011746,260.59478390808454,-31.46236117687377,-31.443653452619056,0.8991615301007051,0.9355920295128123,-0.4539848321487006,-0.46043120843197216,61642.01513725019,61642.0,199.79296356454591,0.40038286212131,121.49414832053053,118.53591131850862,-67.34780731697043
S0000jWfa,NEO,0.015984474877768662,265.4639761855554,265.42168916159,-32.81359710474331,-32.840011707804955,1.086302615648865,1.1344618547543486,0.6243270830403456,0.6176376582477568,61642.01598447488,61642.0,157.82177013796715,0.3162730603997305,159.39588901019928,152.23328627544106,95.09257102192521
S0000TH7a,NEO,0.015984474877768662,263.4645166471688,263.4938895079059,-33.96276886308646,-33.954046067057355,-0.8826793283726395,-0.8118239213107118,-0.2987401890477262,-0.30427101648923893,61642.01598447488,61642.0,112.22108222468248,0.22488979236224962,93.15926978184285,-105.74229865360394,-31.402065704776305
S100nDZJa,MBA,0.016406468937930185,264.45928213241865,264.45419076866983,-35.17928632889644,-35.18623171549353,0.3065276491780753,0.3191974113494937,0.2377122368421096,0.23673290901482594,61642.01640646894,61642.0,624.6222942659364,1.2517360845001946,29.147668454304004,18.328909495744483,25.003391749518755
S1002Fasa,MBA,0.016842684170114808,269.93034905533744,269.93594254430974,-33.82497795082856,-33.826974626005956,-0.057598026497762134,-0.05033203521431964,0.06795240921079218,0.06766886644306103,61642.01684268417,61642.0,1061.018812926694,2.1262698220445713,18.207051558976858,-20.136560300261408,7.188030638621967
S00009kFa,NEO,0.016842684170114808,270.6188923154827,270.632267736528,-34.05687440689744,-34.07751896403022,-0.31916149696516133,-0.2905660815702449,0.6965841152499783,0.6955515008571302,61642.01684268417,61642.0,273.0452442737757,0.5471796125373972,84.347851162121,-48.151515763015595,74.32040567799447
S100ub5Ha,MBA,0.017266367183765396,272.0327372284814,272.03321471462175,-35.173926688979854,-35.182116143004045,0.11256062140343367,0.12247306365641296,0.27278161064835243,0.27261070616095984,61642.017266367184,61642.0,798.7628956857756,1.6007119000847934,29.51549444547143,-1.7189501053280765,29.482034487085684
S00000b1a,NEO,0.017266367183765396,272.677244432541,272.6705511949283,-37.226911495245446,-37.24701406080375,0.34345488399080154,0.3600069098755077,0.6544504527395624,0.654434230170807,61642.017266367184,61642.0,501.25533121589746,1.0045100717520978,74.86864027890513,24.09565540569929,72.36923600989371
S00001Kba,NEO,0.01769169130420778,269.2082674253673,269.2149042869246,-37.04131085534343,-37.05248805686785,-0.08955204483623068,-0.07131716877211582,0.36457834533444416,0.36363425048976505,61642.017691691304,61642.0,441.7769641374297,0.8853160900406979,44.52805063348868,-23.89270160626893,40.23792548790652
S00001m7a,NEO,0.018962557791383006,277.6154795188371,277.62564635007755,-42.022468864616,-42.03257492954659,-0.1976846863966871,-0.1820261860832002,0.31862714196511516,0.319137908274271,61642.01896255779,61642.0,545.860588846323,1.0938985086474666,45.4181997555052,-36.60059246558376,36.38183375012147
