tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:b4313d63f1d31c1cdb03325c1b21a0b4,dlon-130_lat+08,V024.00_024.25,Trojans,24.12674491687468,0.1739526090487166,-0.0353872810801328,0.0005195850373192057,True,ok,0.0005244560291926965,True,597428.6304176529,ok,0.0005635324159498346,True,555980.0791076992,ok
T2:3c17092f7c14b219798d7d74787ee1dc,dlon+130_lat+08,V024.00_024.25,Trojans,24.02297145948499,0.1832834154253101,-0.0008897965651965701,0.00047720671177321327,True,ok,0.0005463375835327494,True,1019706.5334722756,ok,0.0004603005944769999,True,1210408.9541639858,ok
T2:8119e678741955cb3aefb20856d9fd3d,dlon+130_lat+08,V024.00_024.25,Trojans,24.13770314453628,0.17660625958569148,0.026883474022478822,0.00035987294443287496,True,ok,0.00035353651358006785,True,1048610.2156665022,ok,0.0005005196555606026,True,740565.3034359139,ok
T2:5aecbf29cb3fc1f772b5e630d2d913bd,dlon+130_lat+08,V024.25_024.50,Trojans,24.283365879281224,0.17109282401068315,0.023903031620210253,0.0008994047174652073,True,ok,0.0008582319148922224,True,570495.3737474218,ok,0.0007579522319076747,True,646038.7043937547,ok
T2:fe4391f3da775e864360b6544820f560,dlon-120_lat+08,V024.00_024.25,Trojans,24.093905485863765,0.15504884135542185,-0.02698044124867359,0.0003397182786765494,True,ok,0.00032456217928992316,True,1178762.9765094004,ok,0.0004174376392826267,True,916415.5325696113,ok
T2:d00f1320ccb7bbfc43feb9872b627e1d,dlon-120_lat+08,V024.25_024.50,Trojans,24.489773239317756,0.13102545231247587,0.011897706970057863,0.0005333927384678155,True,ok,0.0005704597609133927,True,560815.9213123275,ok,0.0005312171296883503,True,602268.752814826,ok
T2:46fe70a76adfa401f3188d32f96fcb41,dlon-120_lat+08,V023.75_024.00,Trojans,23.95367338692546,0.1984331895826378,-0.03408790106294479,0.0006643585201346219,True,ok,0.0006238590962325003,True,679502.3045830429,ok,0.0007017272614526374,True,604053.2938110675,ok
T2:c0bb4bc30d6c34f5b049ec999290882c,dlon-120_lat+08,V024.25_024.50,Trojans,24.415413889191075,0.15116828503013102,-0.007763821987738744,0.00034050274404423455,True,ok,0.0003666762394796412,True,1363776.3230628087,ok,0.00031363284578979817,True,1594510.6361989542,ok
T2:9d1b5fbcb02f1a5cd3101e49ee363d1c,dlon-120_lat+08,V024.75_025.00,Trojans,24.750285937435788,0.14130048336826628,-0.026710169881492215,0.0006735211049921477,True,ok,0.0006322718767416265,True,1018067.4376513032,ok,0.000644583553275359,True,998609.8407242157,ok
T2:0bf98607e15cc44d1d5a1b07a568d886,dlon-130_lat+08,V024.50_024.75,Trojans,24.675746612213903,0.1831334892967707,-0.01970509707605189,0.0007065959626223307,True,ok,0.0007558220886649236,True,975591.6043908198,ok,0.0008374686488977382,True,880407.2075082546,ok
