tracklet_uid,center_label,magnitude_bin,vlam,vbeta,population,w_phys,mean_mag_V,P_NEO_new,new_vdp_valid,new_vdp_reason,n_pops_new,rho_NEO_new,rho_MBA_new,rho_TNO_new,rho_Trojans_new,p_NEO_vs_OTHER,rho_NEO_pilot,rho_OTHER_pilot,total_density_pilot,pilot_reason,pilot_valid,score_diff_old_minus_new
T2:9319ac8b6b7476e605a5e289a7cec02d,dlon-060_lat-05,V021.25_021.50,0.029615229810713874,-0.05264662615952788,MBA,1.0,21.474181044778856,,False,missing_population_density:Trojans,3,,,,,0.00038540439788694783,33.60578120017666,87162.54814030844,87196.15392150862,ok,True,
T2:ab4630507cdb369d804953ceb0d75da5,dlon-060_lat-05,V024.00_024.25,0.014064735041726019,-0.021200039653485735,MBA,1.0,24.057191246539233,,False,missing_population_density:Trojans,3,,,,,0.000553692733899947,528.6554707218583,954252.6489510676,954781.3044217895,ok,True,
T2:dd0f658623d26f05b67340abd894af69,dlon-060_lat+00,V023.50_023.75,0.025912077435614998,-0.026487448412299556,MBA,1.0,23.647610126722988,,False,missing_population_density:Trojans,3,,,,,0.000503821250994657,377.87912828102685,749648.3008611657,750026.1799894468,ok,True,
T2:9913640d6092fc08f7bd74fa2b890423,dlon-060_lat-05,V023.75_024.00,0.05231884350535197,0.08503767594002382,MBA,1.0,23.952236513712826,,False,missing_population_density:Trojans,3,,,,,0.0008526642451800927,271.562577496778,318215.554751342,318487.1173288388,ok,True,
T2:0177555105755a8383a07dee12d48aa5,dlon-060_lat+00,V024.75_025.00,0.030685653627886434,-0.13606658457463117,MBA,1.0,24.973940146950095,,False,missing_population_density:Trojans,3,,,,,0.0020803205727603444,344.3670178903626,165191.18668450246,165535.55370239282,ok,True,
T2:324b7ffd14f7135d4f722d7833d10a17,dlon-060_lat+00,V024.25_024.50,0.08121306882243316,-0.03306017144591018,MBA,1.0,24.313509500717334,,False,missing_population_density:Trojans,3,,,,,0.0006372675511316272,565.2611312246936,886442.2920086328,887007.5531398575,ok,True,
T2:e4f10109616d382e590ddca5d6c569d1,dlon-060_lat+00,V024.25_024.50,0.02238460503578467,-0.020106309556796664,MBA,1.0,24.364236780729854,,False,missing_population_density:Trojans,3,,,,,0.0006914802579384335,675.9343549073824,976842.0021984812,977517.9365533886,ok,True,
T2:6944c185e866b604efa8ff687d3c7fd3,dlon-060_lat-05,V024.00_024.25,-0.005680298132175112,0.08033833501136968,MBA,1.0,24.07106363641511,,False,missing_population_density:Trojans,3,,,,,0.0010572811266762446,329.5660244158177,311381.3083121652,311710.87433658104,ok,True,
T2:3cd472797d409914f89fa8648eccd4ba,dlon-060_lat-05,V024.25_024.50,0.0853884438764479,0.04368689555109218,MBA,1.0,24.35497478533465,,False,missing_population_density:Trojans,3,,,,,0.0006938978975226704,475.44875172516475,684710.0135801178,685185.462331843,ok,True,
T2:d12419dba7f55f274b4a56f0282568a8,dlon-060_lat+00,V022.75_023.00,0.010913206383410147,-0.005523598766765048,MBA,1.0,22.792376294806463,,False,missing_population_density:Trojans,3,,,,,0.00037164018719314376,202.6231397268675,545010.5876736747,545213.2108134015,ok,True,
T2:175c688d7df5335c663a98b8f2852348,dlon-060_lat-05,V024.75_025.00,0.028050449551466163,-0.045685127608117396,MBA,1.0,24.992696825419632,,False,missing_population_density:Trojans,3,,,,,0.0010796361193814413,927.0634091166078,857754.2945726381,858681.3579817547,ok,True,
T2:055c19b343018d166c20c8e11c0a866a,dlon-060_lat-05,V023.50_023.75,0.031712407935986016,0.04534057243755283,MBA,1.0,23.678119327888883,,False,missing_population_density:Trojans,3,,,,,0.0005326068100948018,257.62690674534883,483451.74718010175,483709.3740868471,ok,True,
T2:9ec5bdce8f143fd9a759c7a2d75ff1e4,dlon-060_lat+00,V023.00_023.25,-0.0030747123850440403,-0.00963204450293545,MBA,1.0,23.002245120382298,,False,missing_population_density:Trojans,3,,,,,0.00034987268393300765,245.52495293285344,701509.6111521358,701755.1361050686,ok,True,
T2:7dbbf7e78b30a8ac8a9e35d43d1c9735,dlon-060_lat-05,V024.25_024.50,0.06425169245358821,0.0063139697923451105,MBA,1.0,24.473378995985524,,False,missing_population_density:Trojans,3,,,,,0.0005374609381437172,492.83289849142636,916472.2217035654,916965.0546020569,ok,True,
T2:78486a4af2e188e9874aef84a545c24d,dlon-060_lat-05,V022.75_023.00,-0.008206860594297335,0.017208808662344328,MBA,1.0,22.837078915279836,,False,missing_population_density:Trojans,3,,,,,0.0005336811030016166,197.9602970147182,370735.7225733689,370933.68287038367,ok,True,
T2:5b8e71ddbadadd116c2acf25282edae2,dlon-060_lat-05,V022.00_022.25,0.05411006549866698,0.00704429577433182,MBA,1.0,22.178670423255546,,False,missing_population_density:Trojans,3,,,,,0.00016776356944184914,79.14150377111012,471665.1354832684,471744.27698703954,ok,True,
T2:6dddeb89852072d07239a87b9314721b,dlon-060_lat-05,V024.50_024.75,0.05122128058751119,-0.024253312014684,MBA,1.0,24.568712465898148,0.0005127180335538818,True,ok,4,651.3069449801465,1264921.8301273778,1065.4308661148339,3663.8251052085516,0.0005146339835300317,651.3069449801465,1264921.8301273778,1265573.1370723578,ok,True,-1.9159499761499475e-06
T2:6f3fdefbc682ff43e2ee2e5df59a974c,dlon-060_lat+00,V024.50_024.75,0.03577811426039834,0.014467820946486876,MBA,1.0,24.591427392436394,0.0004724933325197891,True,ok,4,880.6554026977898,1858367.6455647298,2663.871730264624,1935.0862705727031,0.00047366207205328946,880.6554026977898,1858367.6455647298,1859248.3009674277,ok,True,-1.1687395335003691e-06
T2:09bf3fc91b3dd46c7431d33489f38ed0,dlon-060_lat+00,V023.75_024.00,-0.006227651488320018,-0.019558084858225945,MBA,1.0,23.756505736198264,,False,missing_population_density:Trojans,3,,,,,0.0004602286836743222,411.54776726000364,893812.9581334472,894224.5059007072,ok,True,
T2:0d4c7671646bd76dafb6b78c0f3bba29,dlon-060_lat+00,V024.25_024.50,0.018109372313017465,-0.02957236385135011,MBA,1.0,24.324023918815968,,False,missing_population_density:Trojans,3,,,,,0.0006952592382366482,646.047860288459,928572.6158528301,929218.6637131185,ok,True,
T2:9a510859e399b23e7491ee80b33fb5b8,dlon-060_lat-05,V023.25_023.50,-0.006944391027094569,0.03870285170466926,MBA,1.0,23.318785853655918,,False,missing_population_density:Trojans,3,,,,,0.0004159553554712474,252.94767277163947,607859.604418469,608112.5520912407,ok,True,
T2:8fb2e8d69e3e1136cc604ea315872ecb,dlon-060_lat+00,V024.50_024.75,0.04049390395206105,-0.028939097230345368,MBA,1.0,24.66458944672927,0.0005017215705791245,True,ok,4,672.2201742753923,1335838.0444067032,1415.1833809561556,1901.686636774374,0.0005029667127069512,672.2201742753923,1335838.0444067032,1336510.2645809785,ok,True,-1.2451421278266307e-06
T2:1bd28bd0d0ce9c030211a06b077abd35,dlon-060_lat-05,V022.75_023.00,-0.007824643352840992,0.07123962788510808,MBA,1.0,22.831840140602473,,False,missing_population_density:Trojans,3,,,,,0.0005383860383086233,128.65808124207808,238841.28557901012,238969.9436602522,ok,True,
T2:13a4866cf9d503cbbe1e65253f76416a,dlon-060_lat-05,V022.00_022.25,0.07846737873286568,0.07004854850336732,MBA,1.0,22.095598692470357,,False,missing_population_density:Trojans,3,,,,,0.0003987397685752088,68.38418331336754,171432.40079662568,171500.78497993905,ok,True,
T2:387b2a74c22d972305e0c78485990090,dlon-060_lat-05,V024.75_025.00,-0.02640883724152056,0.021991734930184623,MBA,1.0,24.868414238721485,,False,missing_population_density:Trojans,3,,,,,0.0008434328811453529,999.2248008972281,1183712.473349067,1184711.6981499642,ok,True,
T2:ada357366325bf103deebf0fd0140cb0,dlon-060_lat+00,V024.00_024.25,-0.02709544541607544,7.815006077949814e-05,MBA,1.0,24.09971254168976,,False,missing_population_density:Trojans,3,,,,,0.0003799296174812359,652.9745549495325,1718019.445032823,1718672.4195877723,ok,True,
T2:62d72143d2177f42eae47302e79adf51,dlon-060_lat-05,V023.00_023.25,0.09042234304387012,0.025020186724632264,MBA,1.0,23.07493191408315,,False,missing_population_density:Trojans,3,,,,,0.000313947114808885,185.9343671571148,592061.4805208636,592247.4148880207,ok,True,
T2:df0e45d4deb2ba393e79e6bb5cae0907,dlon-060_lat+00,V024.75_025.00,0.03253830022602932,0.015486256194236577,MBA,1.0,24.94368789359215,,False,missing_population_density:Trojans,3,,,,,0.001019608007177398,1061.214387128738,1039745.0363077043,1040806.250694833,ok,True,
T2:3e3164ac98bbcd0c8f87b99a63189f6a,dlon-060_lat-05,V024.00_024.25,0.024694901357685466,-0.021279610884299652,MBA,1.0,24.057537193975705,,False,missing_population_density:Trojans,3,,,,,0.0005564606444552371,521.5153416257372,936679.2495683336,937200.7649099594,ok,True,
